,address,lat,long
4759,109 GANGSA RD,1.377367365,103.7677488
550,109 HOUGANG AVE 1,1.355328589,103.8893763
361,109 JLN BT MERAH,1.279426714,103.8260869
616,109 JURONG EAST ST 13,1.338361705,103.7359112
4016,109 LENGKONG TIGA,1.324580762,103.9106975
1447,109 LOR 1 TOA PAYOH,1.341237271,103.8462025
3631,109 MCNAIR RD,1.321420379,103.8591003
4567,109 PASIR RIS ST 11,1.36846368,103.9560091
2500,109 POTONG PASIR AVE 1,1.334863952,103.8674116
7208,109 RIVERVALE WALK,1.383283171,103.8996414
862,109 SERANGOON NTH AVE 1,1.369433518,103.8705114
3966,109 SIMEI ST 1,1.342257928,103.9501284
2280,109 SPOTTISWOODE PK RD,1.274031873,103.8366527
1428,109 TAMPINES ST 11,1.347388711,103.9492317
4317,109 TECK WHYE LANE,1.378659893,103.7520777
6514,109 WHAMPOA RD,1.327148176,103.8557009
5515,109 WOODLANDS ST 13,1.437520434,103.7809536
2343,109 YISHUN RING RD,1.432799057,103.8286462
7505,109A DEPOT RD,1.280957713,103.8094402
7845,109A EDGEDALE PLAINS,1.394721864,103.9098738
7394,109B DEPOT RD,1.280999372,103.8092253
8003,109B EDGEDALE PLAINS,1.394956962,103.9096342
7691,109C EDGEDALE PLAINS,1.39517272,103.9092816
8036,109D EDGEDALE PLAINS,1.395529913,103.9088596
9445,10A BENDEMEER RD,1.314991389,103.8605054
8864,10A BOON TIONG RD,1.286358471,103.8296262
5757,10B BEDOK STH AVE 2,1.322353866,103.9361833
9497,10B BENDEMEER RD,1.315477153,103.8603129
9072,10B BOON TIONG RD,1.286336847,103.8292048
6562,10B LOR 7 TOA PAYOH,1.337161364,103.8583536
5758,10C BEDOK STH AVE 2,1.322093899,103.9362221
9498,10C BENDEMEER RD,1.315842362,103.8606445
5759,10D BEDOK STH AVE 2,1.321770859,103.9363266
5328,10E BEDOK STH AVE 2,1.321620093,103.937041
4442,10F BEDOK STH AVE 2,1.322217735,103.9370013
7748,11 CANTONMENT CL,1.274426047,103.8396715
7269,11 CHAI CHEE RD,1.326911375,103.9248839
3304,11 EUNOS CRES,1.321800293,103.9044244
8018,11 FARRER PK RD,1.312367682,103.8521093
1385,11 GHIM MOH RD,1.311067355,103.7893224
2684,11 HAIG RD,1.31483627,103.8966373
817,11 HOLLAND DR,1.314190899,103.7827197
2190,11 JLN BATU,1.335757259,103.7876499
4063,11 JLN BT MERAH,1.286621904,103.8089633
1468,11 JOO SENG RD,1.33500895,103.8807063
6536,11 LOR 8 TOA PAYOH,1.337233443,103.8588411
2799,11 MARSILING DR,1.440393999,103.7779423
7148,11 PINE CL,1.308112642,103.8826938
3342,11 REDHILL CL,,
1605,11 SHORT ST,,
2017,11 ST. GEORGE'S RD,1.322923267,103.8632305
2577,11 TECK WHYE LANE,1.379762211,103.7549694
4459,11 TOH YI DR,1.338002612,103.7726033
725,11 UPP BOON KENG RD,1.31423937,103.870914
2429,110 ALJUNIED CRES,1.319976747,103.8844393
17,110 ANG MO KIO AVE 4,1.37045937,103.8374193
138,110 BEDOK NTH RD,1.332472064,103.9348605
2955,110 BEDOK RESERVOIR RD,1.330144804,103.910318
2824,110 BISHAN ST 12,1.34740957,103.8480546
1909,110 BT BATOK WEST AVE 6,1.347544439,103.7457968
1596,110 BT MERAH VIEW,,
363,110 BT PURMEI RD,1.273804157,103.8270577
2622,110 C'WEALTH CRES,1.306798924,103.7986572
478,110 CLEMENTI ST 13,1.322845078,103.7708988
308,110 DEPOT RD,1.281387539,103.8093625
3424,110 GANGSA RD,1.377863721,103.7681392
551,110 HOUGANG AVE 1,1.354658085,103.8895462
595,110 JURONG EAST ST 13,1.338870889,103.7362185
4233,110 LENGKONG TIGA,1.323653452,103.9108536
2496,110 LOR 1 TOA PAYOH,1.341552751,103.8463859
3546,110 MCNAIR RD,1.322079197,103.8590791
4631,110 PASIR RIS ST 11,1.368775687,103.9563004
7049,110 RIVERVALE WALK,1.383492335,103.9003124
2202,110 SERANGOON NTH AVE 1,1.36938351,103.8714075
3967,110 SIMEI ST 1,1.342752768,103.9501952
2140,110 SPOTTISWOODE PK RD,1.273638234,103.8364203
889,110 TAMPINES ST 11,1.346946622,103.949307
3921,110 TECK WHYE LANE,1.378213713,103.751983
6534,110 WHAMPOA RD,1.326821226,103.8558907
2644,110 WOODLANDS ST 13,1.4375976,103.7815756
2655,110 YISHUN RING RD,1.433761603,103.8290061
9528,110A DEPOT RD,1.281428248,103.8092428
8093,110A PUNGGOL FIELD,1.396124003,103.9092837
7959,110B PUNGGOL FIELD,1.395660239,103.909627
7967,110C PUNGGOL FIELD,1.395397332,103.910034
7903,110D PUNGGOL FIELD,1.395000712,103.910206
2583,111 ALJUNIED CRES,1.32037127,103.8840291
1130,111 ANG MO KIO AVE 4,1.37085149,103.8372982
239,111 BEDOK NTH RD,1.33145574,103.9354586
3376,111 BEDOK RESERVOIR RD,1.329807637,103.9100936
2960,111 BISHAN ST 12,1.347067527,103.8480637
292,111 BT BATOK WEST AVE 6,1.348406443,103.7459949
360,111 BT MERAH VIEW,,
2139,111 BT PURMEI RD,1.274397181,103.8272396
783,111 C'WEALTH CRES,1.306352033,103.7984662
479,111 CLEMENTI ST 13,1.323216054,103.7711261
7760,111 EDGEFIELD PLAINS,1.396677886,103.9065791
3623,111 GANGSA RD,1.378167474,103.7683657
633,111 HO CHING RD,1.333889396,103.7233061
1300,111 HOUGANG AVE 1,1.354985765,103.8885575
2604,111 JURONG EAST ST 13,1.338775749,103.7356043
3979,111 LENGKONG TIGA,1.324058778,103.9113038
1805,111 LOR 1 TOA PAYOH,1.341237138,103.8453061
4473,111 LOR 3 GEYLANG,1.312348005,103.8737478
3120,111 MCNAIR RD,1.321303988,103.8582727
4803,111 PASIR RIS ST 11,1.36805792,103.9563785
7162,111 RIVERVALE WALK,1.384397167,103.9008116
1408,111 SERANGOON NTH AVE 1,1.369047313,103.870584
4134,111 SIMEI ST 1,1.342412335,103.9495035
888,111 TAMPINES ST 11,1.346914714,103.9474165
4250,111 TECK WHYE LANE,1.377879046,103.7521037
6560,111 WHAMPOA RD,1.326589759,103.8561879
5525,111 WOODLANDS ST 13,1.437943817,103.7820594
1483,111 YISHUN RING RD,1.43321264,103.8286175
7448,111A DEPOT RD,1.281122693,103.8086879
7532,111B DEPOT RD,1.281165101,103.8084718
505,112 ALJUNIED CRES,1.320418047,103.8850987
1507,112 ANG MO KIO AVE 4,1.371278651,103.8357666
2117,112 BEDOK NTH RD,1.331049078,103.9355388
233,112 BEDOK RESERVOIR RD,1.329694088,103.9104902
3283,112 BISHAN ST 12,1.346810298,103.8490411
1572,112 BT BATOK WEST AVE 6,1.348173534,103.7450252
1231,112 BT PURMEI RD,1.274469784,103.8258781
2311,112 C'WEALTH CRES,1.306616608,103.7981838
3189,112 CLEMENTI ST 13,1.323301238,103.7698535
7894,112 EDGEFIELD PLAINS,1.396245169,103.9070873
1994,112 HO CHING RD,1.333885581,103.7236884
2432,112 HOUGANG AVE 1,1.354421811,103.8885578
2917,112 JURONG EAST ST 13,1.339209815,103.7358244
4401,112 LENGKONG TIGA,1.323489065,103.9114078
2325,112 LOR 1 TOA PAYOH,1.341553399,103.8454896
3361,112 LOR 3 GEYLANG,1.312108235,103.8737837
3801,112 MCNAIR RD,1.321013495,103.8589824
4799,112 PASIR RIS ST 11,1.367705774,103.9557964
4114,112 PENDING RD,1.378555604,103.7687488
7075,112 RIVERVALE WALK,1.383459766,103.9013837
2314,112 SERANGOON NTH AVE 1,1.369199969,103.8715888
3583,112 SIMEI ST 1,1.343109584,103.9495596
876,112 TAMPINES ST 11,1.346298136,103.9475098
4251,112 TECK WHYE LANE,1.377485451,103.7519213
5567,112 WHAMPOA RD,1.326001541,103.8567322
6168,112 WOODLANDS ST 13,1.438331465,103.7816673
2945,112 YISHUN RING RD,1.434168645,103.829055
7344,112A DEPOT RD,1.281476362,103.8081481
7449,112B DEPOT RD,1.281568739,103.8077317
2098,113 ANG MO KIO AVE 4,1.371785181,103.8359657
8225,113 BEDOK NTH ST 2,1.33036165,103.935081
2106,113 BEDOK RESERVOIR RD,1.32996671,103.9107825
2740,113 BISHAN ST 12,1.347231851,103.848809
277,113 BT BATOK WEST AVE 6,1.348836372,103.7451734
2672,113 BT MERAH VIEW,,
365,113 BT PURMEI RD,1.274770135,103.8269323
834,113 C'WEALTH CRES,1.306746481,103.7979557
456,113 CLEMENTI ST 13,1.323684011,103.7701323
2751,113 DEPOT RD,1.281419862,103.8072869
548,113 HOUGANG AVE 1,1.353569053,103.8887057
2269,113 JLN BT MERAH,1.280277649,103.8257236
2602,113 JURONG EAST ST 13,1.338797914,103.7348077
4441,113 LENGKONG TIGA,1.323451841,103.9119049
964,113 LOR 1 TOA PAYOH,1.34128334,103.8446055
4673,113 LOR 3 GEYLANG,1.311797847,103.8738525
4674,113 PASIR RIS ST 11,1.368055259,103.9557672
3422,113 PENDING RD,1.378381818,103.7693595
1812,113 POTONG PASIR AVE 1,1.336055939,103.8635995
7050,113 RIVERVALE WALK,1.383827437,103.9016837
1407,113 SERANGOON NTH AVE 1,1.368776829,103.8704749
3666,113 SIMEI ST 1,1.342854256,103.9498804
875,113 TAMPINES ST 11,1.346478513,103.9461768
1332,113 TAO CHING RD,1.333184498,103.7243543
4550,113 TECK WHYE LANE,1.378053735,103.7506934
5649,113 WHAMPOA RD,1.325833304,103.8571793
3552,113 WOODLANDS ST 13,1.438014045,103.7812289
2876,113 YISHUN RING RD,1.435135802,103.8288732
9481,113A MCNAIR RD,1.321425756,103.8601947
9480,113B MCNAIR RD,1.321181401,103.8605682
9462,113C MCNAIR RD,1.320882353,103.8603317
9472,113D MCNAIR RD,1.320148599,103.8597637
2536,114 ANG MO KIO AVE 4,1.372579625,103.8362208
8226,114 BEDOK NTH ST 2,1.330505213,103.9358169
2821,114 BEDOK RESERVOIR RD,1.33056066,103.9098389
3377,114 BISHAN ST 12,1.347549415,103.8488805
2563,114 BT BATOK WEST AVE 6,1.348836629,103.7460217
318,114 BT MERAH VIEW,,
364,114 BT PURMEI RD,1.275071819,103.8258872
1279,114 CLEMENTI ST 13,1.323915477,103.7706295
1601,114 DEPOT RD,1.281759271,103.8068622
7963,114 EDGEFIELD PLAINS,1.395799718,103.9075556
634,114 HO CHING RD,1.333789443,103.7241113
549,114 HOUGANG AVE 1,1.352908458,103.8889723
6315,114 JURONG EAST ST 13,1.339213865,103.73461
